127.0.0.1 - - [24/Oct/2016:09:33:01 +0530] "GET / HTTP/1.1" 404 951
10.244.48.148 - - [24/Oct/2016:10:23:17 +0530] "POST /fidouaf_test/v1/public/appRegRequest HTTP/1.1" 200 44
10.244.0.10 - - [24/Oct/2016:10:23:17 +0530] "POST /fidouaf_test/v1/public/verifyQRContents HTTP/1.1" 200 38
10.244.0.10 - - [24/Oct/2016:10:23:19 +0530] "GET /fidouaf_test/v1/public/regRequest/315 HTTP/1.1" 200 6034
10.244.0.10 - - [24/Oct/2016:10:23:33 +0530] "POST /fidouaf_test/v1/public/regResponse HTTP/1.1" 200 4632
10.244.48.148 - - [24/Oct/2016:10:23:43 +0530] "POST /fidouaf_test/v1/public/notifyAuthenticators HTTP/1.1" 200 18
10.244.0.10 - - [24/Oct/2016:10:23:43 +0530] "GET /fidouaf_test/v1/public/authRequest/flexiblePolicy/315 HTTP/1.1" 200 551
10.244.0.10 - - [24/Oct/2016:10:23:50 +0530] "POST /fidouaf_test/v1/public/authResponse HTTP/1.1" 200 163
10.244.0.10 - - [24/Oct/2016:10:23:50 +0530] "POST /fidouaf_test/v1/public/getSignedContext HTTP/1.1" 200 383
10.244.48.148 - - [24/Oct/2016:10:23:57 +0530] "POST /fidouaf_test/v1/public/notifyAuthenticators HTTP/1.1" 200 18
10.244.0.10 - - [24/Oct/2016:10:23:58 +0530] "GET /fidouaf_test/v1/public/authRequest/flexiblePolicy/315 HTTP/1.1" 200 551
10.244.0.10 - - [24/Oct/2016:10:24:02 +0530] "POST /fidouaf_test/v1/public/authResponse HTTP/1.1" 200 163
10.244.0.10 - - [24/Oct/2016:10:24:02 +0530] "POST /fidouaf_test/v1/public/getSignedContext HTTP/1.1" 200 382
10.244.48.148 - - [24/Oct/2016:10:24:12 +0530] "POST /fidouaf_test/v1/public/notifyAuthenticators HTTP/1.1" 200 18
10.244.0.10 - - [24/Oct/2016:10:24:12 +0530] "GET /fidouaf_test/v1/public/authRequest/flexiblePolicy/315 HTTP/1.1" 200 551
10.244.0.10 - - [24/Oct/2016:10:24:18 +0530] "POST /fidouaf_test/v1/public/authResponse HTTP/1.1" 200 163
10.244.0.10 - - [24/Oct/2016:10:24:18 +0530] "POST /fidouaf_test/v1/public/getSignedContext HTTP/1.1" 200 383
10.244.0.10 - - [24/Oct/2016:10:24:30 +0530] "GET /fidouaf_test/v1/public/authRequest/ZDNkM0xtWnBaRzl3WlhKemFYTjBaVzUwTG5CemJHSmhibXN1YVc5emJXOWlhV3hsTG1OdmJRPT0=/VUd4bFlYTmxJSEJ5YjNacFpHVWdZWEJ3Y205MllXd2dabTl5SUhSeVlXNXpZV04wYVc5dUlHOW1JRkp6TGpVd01EQWdkRzkzWVhKa2N5QlhZWFJsY2lCQ2FXeHNJRkJoZVcxbGJuUT0= HTTP/1.1" 200 3629
10.244.0.10 - - [24/Oct/2016:10:24:32 +0530] "POST /fidouaf_test/v1/public/authResponse HTTP/1.1" 200 163
